DateTime,grid_demand_mwh,system_margin,renewable_output_mwh,stack_marginal_cost
[05/01/2025 16:00],36489.9,4026.0,1535.0,103.28
[05/01/2025 17:00],49154.7,5830.2,7721.5,71.06
[05/01/2025 18:00],46388.1,9901.9,2818.0,69.04
[05/01/2025 19:00],30174.0,3309.0,4771.8,60.79
[05/01/2025 20:00],47291.9,9500.8,7720.4,43.15
[05/01/2025 21:00],42813.9,2211.8,2421.8,49.07
[05/01/2025 22:00],35507.1,5441.3,916.4,99.66
[05/01/2025 23:00],43907.4,2443.2,7460.7,40.95
[06/01/2025 00:00],37665.2,4681.4,3276.6,103.61
[06/01/2025 01:00],36450.0,2521.1,4840.1,47.44
[06/01/2025 02:00],34148.0,5532.9,3896.1,48.88
[06/01/2025 03:00],35774.2,2081.9,6694.0,49.6
[06/01/2025 04:00],48675.0,9279.5,1468.1,75.24
[06/01/2025 05:00],49115.6,4521.6,1688.7,80.78
[06/01/2025 06:00],36946.2,4966.5,5284.9,68.73
[06/01/2025 07:00],48219.4,4465.9,1758.1,104.41
[06/01/2025 08:00],48991.1,3270.3,1689.6,98.4
[06/01/2025 09:00],45299.4,6602.0,6553.4,84.05
[06/01/2025 10:00],47607.1,9515.7,4234.1,36.44
[06/01/2025 11:00],35990.7,7146.4,4223.2,88.21
[06/01/2025 12:00],42595.6,8014.8,1050.1,69.14
[06/01/2025 13:00],40821.7,3072.8,5414.0,37.8
[06/01/2025 14:00],37424.3,8724.1,1091.0,99.05
[06/01/2025 15:00],37468.4,4957.1,7506.6,107.65
[06/01/2025 16:00],46862.7,5233.2,6815.3,36.63
[06/01/2025 17:00],41217.5,7502.9,2038.1,96.63
[06/01/2025 18:00],44297.8,8481.8,542.9,82.75
[06/01/2025 19:00],39389.0,2030.8,6379.7,85.41
[06/01/2025 20:00],49341.1,7233.0,1404.4,45.51
[06/01/2025 21:00],43224.3,8312.4,1104.6,49.32
[06/01/2025 22:00],36857.1,2456.0,6726.9,98.12
[06/01/2025 23:00],39504.4,7243.2,686.5,42.75
[07/01/2025 00:00],32860.1,8098.9,6032.8,46.38
[07/01/2025 01:00],48672.3,6431.3,3272.8,69.45
[07/01/2025 02:00],41594.0,4503.3,6347.2,70.09
[07/01/2025 03:00],36877.3,2432.9,3214.7,105.06
[07/01/2025 04:00],35830.3,4985.5,5728.6,53.68
[07/01/2025 05:00],44255.3,3246.8,650.7,95.03
[07/01/2025 06:00],31572.1,2316.2,6156.0,108.5
[07/01/2025 07:00],40219.0,7636.5,6566.7,104.85
[07/01/2025 08:00],49581.1,4325.1,2621.0,45.67
[07/01/2025 09:00],32588.8,9086.4,1679.4,58.19
[07/01/2025 10:00],41496.9,6484.2,4985.0,88.3
[07/01/2025 11:00],36556.7,8226.8,2997.3,36.62
[07/01/2025 12:00],49497.7,4862.2,5574.7,98.71
[07/01/2025 13:00],33253.6,2212.7,1458.9,94.22
[07/01/2025 14:00],39594.2,8921.3,2911.7,45.99
[07/01/2025 15:00],31740.6,9520.9,6096.6,40.2
[07/01/2025 16:00],45796.7,5984.0,4316.9,89.89
[07/01/2025 17:00],45023.5,4863.7,3102.6,93.12
[07/01/2025 18:00],34900.0,3475.4,919.3,101.09
[07/01/2025 19:00],39730.6,9155.5,5988.0,80.43
[07/01/2025 20:00],45203.3,3849.5,3395.5,42.37
[07/01/2025 21:00],49179.8,9632.2,3854.4,91.27
[07/01/2025 22:00],31902.8,8097.2,7737.5,53.51
[07/01/2025 23:00],47564.9,3981.6,1140.2,57.43
[08/01/2025 00:00],45470.8,2317.6,6942.1,81.23
[08/01/2025 01:00],48972.9,3172.4,4506.5,64.53
[08/01/2025 02:00],46053.1,7045.5,1408.6,44.85
[08/01/2025 03:00],43162.7,9544.0,2307.4,93.92
[08/01/2025 04:00],45224.0,5856.8,6014.3,46.55
[08/01/2025 05:00],39524.4,9826.7,3400.8,81.02
[08/01/2025 06:00],38842.6,9827.6,7364.7,92.19
[08/01/2025 07:00],36428.6,7097.6,1728.5,48.19
[08/01/2025 08:00],36182.9,4803.5,1124.8,63.11
[08/01/2025 09:00],31699.3,3776.0,1045.0,66.24
[08/01/2025 10:00],33326.3,3352.8,7294.0,44.39
[08/01/2025 11:00],43949.9,5709.4,944.8,64.12
[08/01/2025 12:00],46034.0,4464.1,6566.7,49.06
[08/01/2025 13:00],49193.3,2778.9,3951.2,41.95
[08/01/2025 14:00],31858.6,2456.4,6387.7,91.34
[08/01/2025 15:00],35751.8,5750.4,4912.4,85.82
[08/01/2025 16:00],46893.8,6929.4,7104.6,44.22
[08/01/2025 17:00],43813.9,6344.0,1179.3,89.11
[08/01/2025 18:00],42156.9,7215.5,1251.7,58.36
[08/01/2025 19:00],47346.7,4782.3,7002.7,76.42
[08/01/2025 20:00],49963.8,4211.4,2777.8,39.06
[08/01/2025 21:00],44915.0,6131.6,7463.2,42.16
[08/01/2025 22:00],35137.6,8031.0,3539.8,41.39
[08/01/2025 23:00],48077.1,6814.7,4477.1,43.15
[09/01/2025 00:00],33050.2,2733.9,1205.3,89.48
[09/01/2025 01:00],46228.2,9533.8,4619.3,63.32
[09/01/2025 02:00],43121.3,2098.5,5216.4,86.55
[09/01/2025 03:00],48225.8,7917.1,6062.6,90.8
[09/01/2025 04:00],39605.3,7147.6,1051.7,86.63
[09/01/2025 05:00],33312.1,8020.2,2224.2,100.71
[09/01/2025 06:00],41681.9,4633.3,2704.2,99.61
[09/01/2025 07:00],47998.2,3885.6,4749.2,109.03
[09/01/2025 08:00],35248.4,7965.2,5439.4,104.31
[09/01/2025 09:00],49086.2,8404.6,4780.4,50.76
[09/01/2025 10:00],44403.9,4997.3,2020.4,100.0
[09/01/2025 11:00],42405.3,8152.0,1330.5,55.52
[09/01/2025 12:00],40571.2,5134.3,6852.0,53.19
[09/01/2025 13:00],42302.7,8575.0,611.3,44.19
[09/01/2025 14:00],45726.9,7282.1,5971.8,74.87
[09/01/2025 15:00],43531.3,8885.9,1746.1,96.02
[09/01/2025 16:00],34206.9,6121.8,2289.1,94.46
[09/01/2025 17:00],47074.6,3079.7,4885.0,74.04
[09/01/2025 18:00],31965.7,4219.4,6626.5,66.97
[09/01/2025 19:00],33990.9,9586.4,3288.3,72.46
[09/01/2025 20:00],39282.3,4602.6,2516.9,52.05
[09/01/2025 21:00],30503.6,9320.6,6855.8,71.71
[09/01/2025 22:00],48954.4,9777.3,1552.1,44.33
[09/01/2025 23:00],45802.4,2201.2,5584.3,53.58
[10/01/2025 00:00],38707.2,3481.1,7233.7,109.57
[10/01/2025 01:00],45062.7,6606.7,3185.5,98.25
[10/01/2025 02:00],41294.7,4284.0,5956.9,35.49
[10/01/2025 03:00],36183.3,3796.9,7863.4,99.71
[10/01/2025 04:00],30738.3,8765.9,2641.8,59.98
[10/01/2025 05:00],36023.9,9197.4,4021.4,68.31
[10/01/2025 06:00],46619.4,4710.9,7781.9,36.19
[10/01/2025 07:00],41888.4,8031.7,4664.8,66.53
[10/01/2025 08:00],46332.4,2431.7,7606.2,73.07
[10/01/2025 09:00],40712.1,8332.0,875.7,42.28
[10/01/2025 10:00],46228.5,5871.1,5377.6,99.73
[10/01/2025 11:00],40899.4,3623.3,2731.6,44.6
[10/01/2025 12:00],40065.2,3875.6,5169.7,52.81
[10/01/2025 13:00],37405.0,2504.2,7769.4,51.39
[10/01/2025 14:00],30784.4,8891.9,1742.7,76.18
[10/01/2025 15:00],39691.3,9889.3,1009.4,103.4
[10/01/2025 16:00],37299.0,3186.7,6890.8,54.86
[10/01/2025 17:00],48487.4,9114.5,785.7,49.23
[10/01/2025 18:00],30015.7,9497.5,6039.5,84.31
[10/01/2025 19:00],34493.1,6140.3,6162.7,77.16
[10/01/2025 20:00],32623.9,4701.5,1772.6,101.51
[10/01/2025 21:00],37186.4,9239.5,6013.4,95.14
[10/01/2025 22:00],42889.8,7755.1,3662.7,88.71
[10/01/2025 23:00],37589.5,8457.5,7886.9,103.33
[11/01/2025 00:00],38889.9,9010.8,3834.5,63.87
[11/01/2025 01:00],40512.4,2832.4,1825.5,70.59
[11/01/2025 02:00],36607.2,2233.9,7424.5,41.41
[11/01/2025 03:00],46382.0,8616.5,6291.8,108.75
[11/01/2025 04:00],48024.6,3440.1,2482.6,103.42
[11/01/2025 05:00],30091.4,4452.1,778.5,48.27
[11/01/2025 06:00],35237.3,7554.7,7817.8,71.36
[11/01/2025 07:00],31860.0,9040.8,7524.4,88.53
[11/01/2025 08:00],46360.3,8888.8,974.9,73.94
[11/01/2025 09:00],44477.5,7246.9,915.6,76.76
[11/01/2025 10:00],41641.5,2121.6,5633.3,109.0
[11/01/2025 11:00],39898.2,5521.1,537.6,88.13
[11/01/2025 12:00],49623.8,8910.6,3286.0,78.9
[11/01/2025 13:00],43852.5,4107.6,7891.0,105.14
[11/01/2025 14:00],31090.2,6928.2,7897.4,47.55
[11/01/2025 15:00],37349.0,8480.2,5919.3,44.65
[11/01/2025 16:00],31568.0,3786.2,3194.9,74.7
[11/01/2025 17:00],33321.0,2415.6,5586.6,51.42
[11/01/2025 18:00],44059.5,4556.5,3944.2,103.21
[11/01/2025 19:00],44073.3,7478.2,6591.2,39.52
[11/01/2025 20:00],32868.1,2747.8,2203.8,60.59
[11/01/2025 21:00],42323.8,6303.0,2816.4,96.51
[11/01/2025 22:00],38860.3,5671.2,6620.0,96.39
[11/01/2025 23:00],46395.4,8600.1,3328.7,39.84
[12/01/2025 00:00],49514.6,9545.0,4179.8,87.6
[12/01/2025 01:00],38348.0,8237.1,3037.5,58.93
[12/01/2025 02:00],46081.1,3078.2,5436.3,88.93
[12/01/2025 03:00],41564.3,6033.1,4101.7,71.94
[12/01/2025 04:00],44084.1,8434.4,6899.2,81.19
[12/01/2025 05:00],39760.0,5023.5,6360.9,53.28
[12/01/2025 06:00],30066.4,3361.9,2574.2,64.67
[12/01/2025 07:00],33011.5,3073.7,7256.0,88.21
[12/01/2025 08:00],44711.4,3839.9,715.6,102.31
[12/01/2025 09:00],47621.6,3816.3,1719.4,104.34
[12/01/2025 10:00],43823.2,6317.5,4596.8,69.29
[12/01/2025 11:00],37791.7,3144.1,2208.8,48.96
[12/01/2025 12:00],45474.4,2242.4,1410.8,59.09
[12/01/2025 13:00],36021.2,4537.0,6778.7,100.79
[12/01/2025 14:00],30658.3,4456.8,4716.8,66.67
[12/01/2025 15:00],39188.9,2083.7,7377.5,49.28
[12/01/2025 16:00],47081.4,4208.4,7713.2,93.76
[12/01/2025 17:00],45766.4,3908.2,4621.3,97.23
[12/01/2025 18:00],41034.6,2629.0,5460.2,72.24
[12/01/2025 19:00],43150.2,7998.5,766.4,97.68
[12/01/2025 20:00],38831.4,6761.6,6447.1,106.99
[12/01/2025 21:00],40270.1,3363.6,6740.8,104.42
[12/01/2025 22:00],44251.7,6266.0,1217.2,69.43
[12/01/2025 23:00],41503.2,3497.7,2949.6,61.34
[13/01/2025 00:00],42559.9,6051.0,1539.2,62.88
[13/01/2025 01:00],39579.5,9844.5,6255.3,53.76
[13/01/2025 02:00],49188.1,6664.6,1626.8,75.51
[13/01/2025 03:00],44821.1,3699.5,3853.4,55.53
[13/01/2025 04:00],31011.1,7483.5,1622.2,88.0
[13/01/2025 05:00],35374.2,2542.5,1551.0,109.97
[13/01/2025 06:00],49910.7,7224.4,5812.0,39.62
[13/01/2025 07:00],43300.6,6012.4,1411.5,73.76
[13/01/2025 08:00],43693.0,7531.4,5357.0,79.82
[13/01/2025 09:00],46720.8,4188.9,7985.0,90.15
[13/01/2025 10:00],34461.2,9476.5,2760.6,63.88
[13/01/2025 11:00],46016.1,6010.7,3623.1,73.93
[13/01/2025 12:00],30117.2,6134.3,3264.8,106.49
[13/01/2025 13:00],30961.4,4167.1,6296.3,106.48
[13/01/2025 14:00],34041.6,2534.9,1463.3,56.25
[13/01/2025 15:00],35094.8,9731.0,4533.9,96.22
[13/01/2025 16:00],44792.8,3436.7,7530.5,92.29
[13/01/2025 17:00],41813.3,9599.4,1204.8,47.46
[13/01/2025 18:00],36510.8,8537.3,1462.8,99.34
[13/01/2025 19:00],49797.3,4439.8,4038.3,57.79
[13/01/2025 20:00],36776.2,7064.5,6242.6,95.9
[13/01/2025 21:00],40266.0,4613.4,6856.3,36.51
[13/01/2025 22:00],36734.2,5244.8,7996.5,100.91
[13/01/2025 23:00],48921.3,3240.5,3135.8,86.92
[14/01/2025 00:00],32386.7,5544.8,5095.1,86.28
[14/01/2025 01:00],31180.2,2408.7,7318.9,95.04
[14/01/2025 02:00],35274.7,5220.8,2673.4,36.2
[14/01/2025 03:00],37462.2,4764.1,2172.4,47.56
[14/01/2025 04:00],41287.3,9794.9,4955.9,45.91
[14/01/2025 05:00],45941.2,6379.4,4928.7,74.97
[14/01/2025 06:00],39960.2,9566.5,5345.9,74.51
[14/01/2025 07:00],30296.8,3060.3,2583.1,51.38
[14/01/2025 08:00],40839.6,9557.1,2138.3,57.94
[14/01/2025 09:00],42482.1,8951.5,7126.2,47.8
[14/01/2025 10:00],49954.6,4637.6,4619.4,97.93
[14/01/2025 11:00],33190.5,7794.6,1085.8,71.94
[14/01/2025 12:00],44570.3,9409.4,621.9,55.15
[14/01/2025 13:00],32103.9,7470.0,4268.6,89.57
[14/01/2025 14:00],34629.2,7134.7,812.5,102.27
[14/01/2025 15:00],45910.7,3278.1,5531.0,102.29
[14/01/2025 16:00],35975.3,3919.8,4356.9,85.13
[14/01/2025 17:00],33324.0,5642.8,6823.8,82.19
[14/01/2025 18:00],30171.0,2558.2,4988.1,88.18
[14/01/2025 19:00],47431.8,7134.4,2450.7,77.05
[14/01/2025 20:00],41853.4,6115.7,7874.3,43.29
[14/01/2025 21:00],49463.0,8893.7,7895.1,69.54
[14/01/2025 22:00],36940.7,8550.0,5517.7,63.59
[14/01/2025 23:00],48905.3,9049.4,1960.4,63.34
[15/01/2025 00:00],49070.5,4607.6,2575.7,73.19
[15/01/2025 01:00],34447.8,9457.3,5157.8,64.74
[15/01/2025 02:00],36235.2,4220.9,2519.7,47.85
[15/01/2025 03:00],37211.8,9305.9,6648.2,102.04
[15/01/2025 04:00],39408.2,7503.5,3504.9,102.97
[15/01/2025 05:00],32984.9,2325.4,6544.6,49.74
[15/01/2025 06:00],40628.5,6538.9,595.6,73.96
[15/01/2025 07:00],46065.8,6066.5,5395.0,92.9
[15/01/2025 08:00],34143.1,7732.6,2697.4,93.73
[15/01/2025 09:00],43551.6,4137.2,2504.5,56.33
[15/01/2025 10:00],44467.6,5275.8,2829.0,102.0
[15/01/2025 11:00],47952.3,4450.9,2911.8,55.09
[15/01/2025 12:00],34756.3,2898.4,1797.0,54.9
[15/01/2025 13:00],45509.8,5023.9,2569.3,94.68
[15/01/2025 14:00],48333.9,4113.0,4889.8,56.67
[15/01/2025 15:00],46441.8,5163.1,2590.0,82.94
[15/01/2025 16:00],48518.2,7247.0,6865.0,57.69
[15/01/2025 17:00],31961.6,5994.9,1245.8,70.09
[15/01/2025 18:00],44369.6,9949.3,2726.7,95.54
[15/01/2025 19:00],43442.0,6921.8,2536.3,52.27
[15/01/2025 20:00],33078.5,4330.5,6144.9,45.63
[15/01/2025 21:00],34207.1,7353.9,7225.3,88.2
[15/01/2025 22:00],39852.4,8627.9,5444.3,64.05
[15/01/2025 23:00],32318.0,7007.6,4268.9,93.86
[16/01/2025 00:00],44600.8,3141.3,1287.7,70.31
[16/01/2025 01:00],49245.0,8239.2,7204.3,74.69
[16/01/2025 02:00],49964.9,9374.5,1448.9,63.64
[16/01/2025 03:00],31438.9,8673.6,5395.6,79.84
[16/01/2025 04:00],36306.5,8093.8,6978.6,41.47
[16/01/2025 05:00],31866.4,5455.0,1620.8,48.2
[16/01/2025 06:00],36998.3,9460.8,7186.5,100.42
[16/01/2025 07:00],48923.0,9328.0,1015.0,63.75
[16/01/2025 08:00],32924.7,4450.5,7491.4,36.35
[16/01/2025 09:00],34962.5,7603.3,2821.4,97.41
[16/01/2025 10:00],37462.2,4973.9,5608.8,83.98
[16/01/2025 11:00],48794.3,5615.3,5906.2,90.42
[16/01/2025 12:00],35887.9,2902.2,4576.2,41.61
[16/01/2025 13:00],33159.0,2056.4,2111.6,60.51
[16/01/2025 14:00],36064.4,6070.2,5350.5,85.63
[16/01/2025 15:00],32255.1,4107.1,1766.2,106.92
[16/01/2025 16:00],39244.3,7334.8,7405.3,86.91
[16/01/2025 17:00],38370.0,5505.2,1248.4,74.48
[16/01/2025 18:00],35843.0,4973.0,2228.1,50.58
[16/01/2025 19:00],32742.3,6118.4,7989.5,72.06
[16/01/2025 20:00],44548.8,4448.2,1072.1,65.11
[16/01/2025 21:00],44527.6,5253.3,5962.0,43.47
[16/01/2025 22:00],38488.0,5272.8,2686.6,99.07
[16/01/2025 23:00],32792.0,5939.3,2172.6,65.41
[17/01/2025 00:00],40074.6,2802.6,2178.6,66.36
[17/01/2025 01:00],31636.5,6601.8,7572.1,47.76
[17/01/2025 02:00],38307.0,6043.7,2189.1,89.96
[17/01/2025 03:00],46866.7,3279.3,4210.0,109.02
[17/01/2025 04:00],32800.1,3443.2,1072.4,70.5
[17/01/2025 05:00],38002.8,2008.9,2717.2,61.59
[17/01/2025 06:00],42897.6,7088.6,3117.0,56.16
[17/01/2025 07:00],44699.7,6192.8,2857.4,56.2
[17/01/2025 08:00],44697.5,4504.5,577.8,70.89
[17/01/2025 09:00],41076.4,8135.2,4553.0,51.61
[17/01/2025 10:00],49918.8,6904.3,828.3,47.77
[17/01/2025 11:00],32607.4,9763.9,6890.0,66.53
[17/01/2025 12:00],41410.6,3772.5,1823.0,105.49
[17/01/2025 13:00],35321.4,9529.4,2230.2,81.16
[17/01/2025 14:00],31396.8,8894.8,1694.0,43.27
[17/01/2025 15:00],42220.6,9895.5,6149.2,47.79
[17/01/2025 16:00],30061.1,4174.4,7933.7,55.86
[17/01/2025 17:00],38665.4,3144.9,2617.8,69.74
[17/01/2025 18:00],32080.9,5808.7,5105.7,102.96
[17/01/2025 19:00],43718.2,7939.7,4875.4,99.88
[17/01/2025 20:00],36145.5,7032.9,1383.5,42.02
[17/01/2025 21:00],42091.6,2605.6,5589.5,59.02
[17/01/2025 22:00],39540.6,4215.9,5950.5,89.6
[17/01/2025 23:00],47383.5,3556.3,6504.1,80.06
[18/01/2025 00:00],31186.1,2697.1,6110.5,67.19
[18/01/2025 01:00],39058.7,3169.9,5496.2,35.23
[18/01/2025 02:00],35031.1,5885.6,6559.8,91.33
[18/01/2025 03:00],36047.2,9934.3,3219.4,47.02
[18/01/2025 04:00],39766.3,3293.9,6846.5,94.4
[18/01/2025 05:00],48280.0,8233.5,1350.8,66.7
[18/01/2025 06:00],43447.6,2617.6,5595.4,55.84
[18/01/2025 07:00],35244.4,6652.4,5672.8,93.45
[18/01/2025 08:00],39469.1,8890.9,5847.9,90.77
[18/01/2025 09:00],43809.3,3675.9,7286.2,108.39
[18/01/2025 10:00],45880.7,7699.8,1876.3,97.57
[18/01/2025 11:00],30465.3,7669.4,1844.3,69.03
[18/01/2025 12:00],36759.9,3817.4,3464.8,77.05
[18/01/2025 13:00],45523.8,6555.6,4983.8,90.08
[18/01/2025 14:00],38494.2,2312.8,2959.3,60.99
[18/01/2025 15:00],42735.5,3115.1,2794.8,76.93
[18/01/2025 16:00],43867.0,9121.0,7402.4,56.57
[18/01/2025 17:00],31208.8,8658.1,2264.6,88.63
[18/01/2025 18:00],49237.8,7600.7,3888.6,51.8
[18/01/2025 19:00],33223.1,3504.6,3516.2,45.21
[18/01/2025 20:00],37752.4,2046.7,5123.4,58.37
[18/01/2025 21:00],43139.3,7994.9,1758.1,78.79
[18/01/2025 22:00],43533.4,4970.4,4378.1,60.85
[18/01/2025 23:00],44510.5,4803.2,619.2,104.92
[19/01/2025 00:00],30987.0,2369.3,737.8,58.95
[19/01/2025 01:00],38448.3,8367.6,1620.2,53.92
[19/01/2025 02:00],45507.1,5507.2,5009.6,87.34
[19/01/2025 03:00],36819.0,4810.1,1816.9,75.14
[19/01/2025 04:00],31353.8,9869.3,3444.8,102.43
[19/01/2025 05:00],42202.1,9354.0,4735.5,45.89
[19/01/2025 06:00],43946.2,3394.5,1028.8,45.74
[19/01/2025 07:00],32904.6,2175.7,1373.8,100.31
[19/01/2025 08:00],37136.1,9428.8,4547.4,86.58
[19/01/2025 09:00],30370.8,5497.2,6904.5,38.11
[19/01/2025 10:00],39090.2,2800.8,5453.6,41.82
[19/01/2025 11:00],49886.2,9910.1,1267.4,76.41
[19/01/2025 12:00],37878.3,2406.5,1613.7,80.15
[19/01/2025 13:00],42756.6,2834.6,7622.0,48.93
[19/01/2025 14:00],46715.5,4684.4,2546.4,85.04
[19/01/2025 15:00],33714.9,5209.2,4418.9,76.16
[19/01/2025 16:00],42509.2,9586.6,3182.3,94.08
[19/01/2025 17:00],31054.1,3943.7,6306.5,68.53
