Date_WET,price_first_auction,price_second_auction,traded_volume_mwh,price_forecast
[05/01/2025 00:00],48.57,89.54,3818.5,47.17
[05/01/2025 01:00],58.71,56.15,3682.5,72.61
[05/01/2025 02:00],61.97,70.85,2475.0,64.57
[05/01/2025 03:00],52.26,96.7,3863.8,87.39
[05/01/2025 04:00],70.14,95.3,5919.8,87.94
[05/01/2025 05:00],40.62,75.82,4239.8,40.57
[05/01/2025 06:00],65.83,69.52,2313.5,49.78
[05/01/2025 07:00],69.29,75.97,5370.4,70.89
[05/01/2025 08:00],55.47,85.56,3963.0,76.02
[05/01/2025 09:00],54.1,69.86,2911.8,52.07
[05/01/2025 10:00],79.11,99.37,5535.9,82.76
[05/01/2025 11:00],42.46,48.13,4889.8,73.37
[05/01/2025 12:00],53.51,82.41,2656.2,40.7
[05/01/2025 13:00],68.83,47.19,2004.0,51.03
[05/01/2025 14:00],42.79,51.74,3836.0,77.9
[05/01/2025 15:00],94.62,73.74,3695.3,84.7
[05/01/2025 16:00],57.12,48.24,3721.0,41.02
[05/01/2025 17:00],51.12,77.31,3661.9,82.48
[05/01/2025 18:00],61.17,78.26,3970.8,57.86
[05/01/2025 19:00],56.85,75.96,3040.4,89.89
[05/01/2025 20:00],78.17,59.11,4928.0,51.41
[05/01/2025 21:00],83.58,73.64,3268.4,47.26
[05/01/2025 22:00],84.62,53.06,4261.4,56.62
[05/01/2025 23:00],87.42,60.26,5770.4,88.83
[06/01/2025 00:00],78.46,61.47,2400.8,64.63
[06/01/2025 01:00],42.48,46.34,2812.9,88.78
[06/01/2025 02:00],92.81,57.31,3093.3,52.26
[06/01/2025 03:00],89.53,98.52,3322.9,42.43
[06/01/2025 04:00],83.08,95.28,4479.5,69.95
[06/01/2025 05:00],87.38,61.38,2007.1,69.2
[06/01/2025 06:00],72.55,52.54,3240.3,61.58
[06/01/2025 07:00],69.98,83.66,5232.2,65.34
[06/01/2025 08:00],64.41,90.02,5642.6,73.76
[06/01/2025 09:00],93.98,68.19,2720.5,72.99
[06/01/2025 10:00],49.56,67.62,3862.2,74.13
[06/01/2025 11:00],69.09,51.8,2615.0,47.22
[06/01/2025 12:00],75.11,85.06,2689.3,71.39
[06/01/2025 13:00],80.12,79.09,2834.2,77.34
[06/01/2025 14:00],58.94,66.02,2801.7,91.64
[06/01/2025 15:00],90.96,96.18,4155.6,68.44
[06/01/2025 16:00],81.8,91.8,2884.6,86.22
[06/01/2025 17:00],43.99,52.86,2526.8,94.38
[06/01/2025 18:00],61.04,59.87,2917.7,54.15
[06/01/2025 19:00],72.58,75.2,5857.2,44.34
[06/01/2025 20:00],52.84,65.2,2288.8,94.02
[06/01/2025 21:00],94.91,92.95,2654.1,82.61
[06/01/2025 22:00],89.6,83.71,3356.2,63.29
[06/01/2025 23:00],42.84,67.35,3403.2,55.69
[07/01/2025 00:00],50.74,79.15,5455.7,63.02
[07/01/2025 01:00],67.87,70.58,2279.5,42.55
[07/01/2025 02:00],91.06,52.47,3940.2,49.3
[07/01/2025 03:00],41.63,92.91,4193.2,46.33
[07/01/2025 04:00],54.65,87.25,2205.4,59.28
[07/01/2025 05:00],48.18,46.78,5885.4,92.89
[07/01/2025 06:00],61.21,85.05,4782.3,80.22
[07/01/2025 07:00],71.45,52.66,5174.8,44.85
[07/01/2025 08:00],61.24,82.8,2035.1,69.02
[07/01/2025 09:00],51.55,75.26,3295.6,94.22
[07/01/2025 10:00],42.23,45.51,5757.0,54.3
[07/01/2025 11:00],75.29,62.49,4618.9,48.63
[07/01/2025 12:00],45.86,54.83,4823.6,79.64
[07/01/2025 13:00],58.4,53.61,3102.2,85.59
[07/01/2025 14:00],89.61,47.38,5089.4,49.01
[07/01/2025 15:00],86.7,77.39,4072.4,83.45
[07/01/2025 16:00],71.59,91.95,2045.0,40.05
[07/01/2025 17:00],81.26,96.79,2039.0,50.1
[07/01/2025 18:00],41.13,82.87,2941.7,88.38
[07/01/2025 19:00],81.51,72.16,4419.0,47.34
[07/01/2025 20:00],77.81,81.22,3843.2,57.24
[07/01/2025 21:00],46.6,91.71,4666.3,73.91
[07/01/2025 22:00],73.42,97.33,5690.3,74.34
[07/01/2025 23:00],82.1,61.66,2034.4,47.71
[08/01/2025 00:00],58.86,73.83,5748.2,67.23
[08/01/2025 01:00],45.36,55.44,5905.6,54.78
[08/01/2025 02:00],87.37,55.22,4841.7,86.45
[08/01/2025 03:00],56.03,57.81,2036.9,51.97
[08/01/2025 04:00],80.89,73.86,3078.8,91.35
[08/01/2025 05:00],69.21,65.03,2934.6,72.36
[08/01/2025 06:00],86.22,54.06,3356.7,89.94
[08/01/2025 07:00],43.23,86.42,5812.4,66.62
[08/01/2025 08:00],51.74,68.65,5107.7,44.23
[08/01/2025 09:00],82.51,68.51,2113.9,55.09
[08/01/2025 10:00],74.03,65.6,5293.1,49.45
[08/01/2025 11:00],49.44,97.99,3183.6,50.15
[08/01/2025 12:00],83.95,75.19,3981.0,46.97
[08/01/2025 13:00],59.34,99.54,5154.1,69.54
[08/01/2025 14:00],42.33,60.5,3453.8,70.93
[08/01/2025 15:00],81.3,47.18,2825.8,52.54
[08/01/2025 16:00],56.12,65.4,3877.1,67.47
[08/01/2025 17:00],75.72,69.23,2096.7,54.26
[08/01/2025 18:00],44.52,60.27,5762.0,62.4
[08/01/2025 19:00],47.14,82.08,2985.3,75.7
[08/01/2025 20:00],77.09,78.47,4307.5,70.93
[08/01/2025 21:00],74.69,86.83,5585.0,50.47
[08/01/2025 22:00],61.06,82.71,2591.7,90.61
[08/01/2025 23:00],56.3,73.21,4959.7,93.83
[09/01/2025 00:00],48.83,57.01,2745.0,70.93
[09/01/2025 01:00],90.73,99.36,3510.0,43.98
[09/01/2025 02:00],52.24,79.0,2876.2,47.13
[09/01/2025 03:00],65.21,63.05,5524.5,59.66
[09/01/2025 04:00],54.23,53.08,3411.9,85.48
[09/01/2025 05:00],84.97,100.0,2024.8,81.52
[09/01/2025 06:00],58.35,54.97,2776.7,80.82
[09/01/2025 07:00],45.76,77.47,5614.6,54.07
[09/01/2025 08:00],84.53,97.08,3760.2,69.24
[09/01/2025 09:00],53.41,67.15,5103.6,71.86
[09/01/2025 10:00],45.27,61.75,3714.4,50.92
[09/01/2025 11:00],63.65,80.53,5075.6,58.42
[09/01/2025 12:00],51.64,59.79,5485.2,53.91
[09/01/2025 13:00],72.19,50.92,4675.4,48.23
[09/01/2025 14:00],51.83,75.77,3255.4,69.83
[09/01/2025 15:00],55.68,77.22,4791.6,56.65
[09/01/2025 16:00],92.11,67.17,4208.1,43.16
[09/01/2025 17:00],70.48,96.18,4102.1,79.34
[09/01/2025 18:00],90.1,98.95,5826.2,79.27
[09/01/2025 19:00],42.64,70.25,2028.2,53.71
[09/01/2025 20:00],54.42,86.01,5324.0,87.55
[09/01/2025 21:00],60.08,45.67,2645.9,80.29
[09/01/2025 22:00],75.27,75.21,2803.8,75.11
[09/01/2025 23:00],89.03,59.88,3813.6,78.43
[10/01/2025 00:00],93.17,64.48,3763.3,66.39
[10/01/2025 01:00],53.6,47.09,3074.6,51.43
[10/01/2025 02:00],64.57,89.19,5768.1,88.37
[10/01/2025 03:00],93.34,91.38,3670.0,77.29
[10/01/2025 04:00],43.53,82.03,3872.8,83.49
[10/01/2025 05:00],71.33,53.35,2261.5,87.36
[10/01/2025 06:00],54.24,55.85,5116.6,45.2
[10/01/2025 07:00],67.0,76.06,4904.4,40.93
[10/01/2025 08:00],94.35,86.12,2988.2,44.39
[10/01/2025 09:00],89.83,83.99,3080.9,57.32
[10/01/2025 10:00],44.28,69.13,2917.5,84.63
[10/01/2025 11:00],75.09,49.44,3096.5,60.87
[10/01/2025 12:00],93.55,71.05,3908.5,92.25
[10/01/2025 13:00],45.5,58.75,2273.8,55.57
[10/01/2025 14:00],64.3,60.22,2825.5,60.6
[10/01/2025 15:00],66.62,53.32,3577.3,52.06
[10/01/2025 16:00],64.33,48.78,5078.5,53.16
[10/01/2025 17:00],77.34,56.15,5965.7,54.67
[10/01/2025 18:00],58.43,92.43,2017.9,70.23
[10/01/2025 19:00],94.11,45.55,4419.9,79.62
[10/01/2025 20:00],67.72,54.21,3316.7,72.87
[10/01/2025 21:00],51.58,67.37,4448.8,54.04
[10/01/2025 22:00],79.15,90.39,4192.2,58.73
[10/01/2025 23:00],73.11,84.59,4475.2,52.56
[11/01/2025 00:00],67.13,55.01,5745.1,47.83
[11/01/2025 01:00],65.83,48.95,2230.2,64.53
[11/01/2025 02:00],70.38,51.81,3607.5,53.72
[11/01/2025 03:00],42.43,95.1,5178.4,70.13
[11/01/2025 04:00],67.83,69.92,5710.0,65.47
[11/01/2025 05:00],66.17,90.73,5212.4,65.0
[11/01/2025 06:00],66.33,61.92,3850.4,42.29
[11/01/2025 07:00],41.35,72.69,2908.9,85.37
[11/01/2025 08:00],93.09,78.22,3109.7,86.66
[11/01/2025 09:00],90.58,67.14,2578.4,59.51
[11/01/2025 10:00],56.01,49.83,4240.1,71.81
[11/01/2025 11:00],50.89,65.96,5218.8,47.97
[11/01/2025 12:00],69.73,78.67,5375.7,61.12
[11/01/2025 13:00],83.73,57.21,2331.6,87.74
[11/01/2025 14:00],79.11,88.42,2265.1,91.01
[11/01/2025 15:00],57.65,89.85,2162.0,51.31
[11/01/2025 16:00],87.52,71.88,5247.6,65.26
[11/01/2025 17:00],59.17,45.44,3531.2,80.69
[11/01/2025 18:00],69.07,98.77,4940.5,94.09
[11/01/2025 19:00],88.82,95.04,5792.8,94.46
[11/01/2025 20:00],84.24,93.6,5737.9,80.03
[11/01/2025 21:00],53.7,48.73,4557.7,72.05
[11/01/2025 22:00],70.81,77.95,5710.7,65.63
[11/01/2025 23:00],46.59,87.53,4221.0,78.84
[12/01/2025 00:00],50.2,47.05,3924.3,61.92
[12/01/2025 01:00],58.98,86.79,4290.1,57.89
[12/01/2025 02:00],48.25,90.21,2751.9,63.77
[12/01/2025 03:00],82.71,94.91,4772.3,66.5
[12/01/2025 04:00],77.91,88.84,2905.9,59.53
[12/01/2025 05:00],66.23,48.43,4502.4,46.39
[12/01/2025 06:00],72.61,79.97,4142.8,57.68
[12/01/2025 07:00],85.78,90.71,3440.2,40.19
[12/01/2025 08:00],76.98,79.99,5711.5,40.61
[12/01/2025 09:00],74.62,73.99,4526.0,43.79
[12/01/2025 10:00],48.04,73.88,4948.8,60.53
[12/01/2025 11:00],65.68,77.15,3985.3,84.2
[12/01/2025 12:00],48.14,82.83,5418.3,89.97
[12/01/2025 13:00],57.28,71.39,4520.0,45.51
[12/01/2025 14:00],41.94,57.85,4539.8,46.04
[12/01/2025 15:00],40.71,67.86,3256.3,50.34
[12/01/2025 16:00],44.78,75.61,4106.0,94.53
[12/01/2025 17:00],47.5,83.39,4133.5,46.62
[12/01/2025 18:00],65.4,83.98,3713.0,47.52
[12/01/2025 19:00],89.21,67.14,3731.1,62.17
[12/01/2025 20:00],82.33,97.63,2080.9,67.12
[12/01/2025 21:00],67.33,97.72,2966.4,58.32
[12/01/2025 22:00],55.23,75.43,5151.0,79.01
[12/01/2025 23:00],64.55,45.04,5395.4,53.01
[13/01/2025 00:00],69.5,57.37,3398.8,91.62
[13/01/2025 01:00],49.22,48.42,4389.2,79.01
[13/01/2025 02:00],93.94,80.83,5706.3,60.99
[13/01/2025 03:00],85.51,84.02,5043.8,66.88
[13/01/2025 04:00],58.72,89.65,4906.3,61.38
[13/01/2025 05:00],74.44,92.51,2824.3,61.43
[13/01/2025 06:00],58.76,51.63,5127.1,64.99
[13/01/2025 07:00],76.29,65.44,3761.2,67.51
[13/01/2025 08:00],55.34,61.41,4636.3,62.05
[13/01/2025 09:00],83.17,66.51,3132.9,70.46
[13/01/2025 10:00],52.62,86.21,3197.5,69.06
[13/01/2025 11:00],74.31,78.12,5242.1,93.66
[13/01/2025 12:00],76.08,60.08,3176.1,67.31
[13/01/2025 13:00],42.19,67.49,4224.4,89.3
[13/01/2025 14:00],84.63,75.66,2210.0,53.85
[13/01/2025 15:00],92.4,47.75,3681.5,50.39
[13/01/2025 16:00],54.21,58.65,4787.8,83.02
[13/01/2025 17:00],68.89,88.98,2438.1,48.28
[13/01/2025 18:00],58.91,81.47,2810.8,56.45
[13/01/2025 19:00],89.7,50.59,2449.5,53.93
[13/01/2025 20:00],47.9,96.64,2692.5,84.23
[13/01/2025 21:00],53.25,77.1,4280.2,85.67
[13/01/2025 22:00],75.33,57.55,5860.5,71.74
[13/01/2025 23:00],80.48,81.01,4389.7,51.65
[14/01/2025 00:00],48.33,45.6,3771.3,78.66
[14/01/2025 01:00],76.01,90.25,2691.0,43.42
[14/01/2025 02:00],57.98,47.2,4042.9,54.06
[14/01/2025 03:00],42.72,65.84,5301.5,69.38
[14/01/2025 04:00],74.82,95.27,3206.6,52.66
[14/01/2025 05:00],64.93,46.59,3709.6,48.75
[14/01/2025 06:00],51.05,49.4,5387.3,49.25
[14/01/2025 07:00],59.62,53.58,3250.8,70.36
[14/01/2025 08:00],68.44,55.37,2973.4,61.11
[14/01/2025 09:00],58.21,95.49,3957.8,70.38
[14/01/2025 10:00],55.27,51.77,2465.6,47.35
[14/01/2025 11:00],81.81,68.9,4232.2,80.34
[14/01/2025 12:00],61.96,89.0,3588.6,63.56
[14/01/2025 13:00],49.53,49.21,2595.9,45.05
[14/01/2025 14:00],80.43,45.05,5580.3,60.7
[14/01/2025 15:00],82.34,51.65,5710.0,73.8
[14/01/2025 16:00],84.9,88.4,4632.4,88.75
[14/01/2025 17:00],86.07,65.38,2213.2,60.58
[14/01/2025 18:00],62.41,49.15,5719.7,79.6
[14/01/2025 19:00],86.36,52.31,4973.4,70.74
[14/01/2025 20:00],87.74,80.46,3329.2,44.9
[14/01/2025 21:00],62.88,52.19,5864.6,77.24
[14/01/2025 22:00],67.27,74.15,4192.0,59.41
[14/01/2025 23:00],92.31,68.58,3080.5,53.72
[15/01/2025 00:00],81.47,76.9,5486.4,45.91
[15/01/2025 01:00],45.89,68.61,4987.2,67.71
[15/01/2025 02:00],42.97,66.08,5330.3,94.02
[15/01/2025 03:00],87.4,85.3,4858.3,89.56
[15/01/2025 04:00],59.53,70.51,5050.3,69.79
[15/01/2025 05:00],58.03,70.84,3105.5,66.08
[15/01/2025 06:00],42.59,66.85,3846.4,50.59
[15/01/2025 07:00],41.77,76.54,4541.9,73.18
[15/01/2025 08:00],54.06,89.64,3817.4,52.77
[15/01/2025 09:00],56.36,54.91,5999.1,65.13
[15/01/2025 10:00],84.01,69.24,5993.4,65.46
[15/01/2025 11:00],74.27,68.08,5954.0,85.18
[15/01/2025 12:00],44.19,92.69,3076.8,87.79
[15/01/2025 13:00],92.05,53.38,5685.3,86.3
[15/01/2025 14:00],65.05,46.37,3455.5,49.23
[15/01/2025 15:00],53.54,79.27,3212.4,74.94
[15/01/2025 16:00],53.03,62.5,2071.2,84.55
[15/01/2025 17:00],59.68,74.62,2089.6,40.2
[15/01/2025 18:00],69.93,54.92,3714.5,40.76
[15/01/2025 19:00],59.76,48.45,5202.0,48.6
[15/01/2025 20:00],81.91,72.84,2542.4,90.62
[15/01/2025 21:00],42.95,93.92,5782.8,41.85
[15/01/2025 22:00],46.46,66.99,2251.9,44.79
[15/01/2025 23:00],77.41,77.91,5152.3,59.07
[16/01/2025 00:00],83.28,45.45,4291.9,44.33
[16/01/2025 01:00],48.05,54.66,5305.6,47.49
[16/01/2025 02:00],53.37,89.54,2232.6,64.85
[16/01/2025 03:00],94.5,68.39,4916.3,78.06
[16/01/2025 04:00],75.79,66.02,2451.0,41.02
[16/01/2025 05:00],70.1,90.17,5148.7,60.24
[16/01/2025 06:00],46.16,89.6,3053.6,84.64
[16/01/2025 07:00],51.7,68.64,5459.8,46.98
[16/01/2025 08:00],53.89,48.57,2741.5,65.37
[16/01/2025 09:00],45.92,59.25,2916.7,91.11
[16/01/2025 10:00],81.95,69.09,3863.8,64.81
[16/01/2025 11:00],83.43,94.23,4425.7,55.89
[16/01/2025 12:00],56.91,61.62,5850.5,56.72
[16/01/2025 13:00],40.15,96.1,3783.3,44.49
[16/01/2025 14:00],84.38,51.66,2138.8,66.22
[16/01/2025 15:00],48.07,88.72,3233.0,65.86
[16/01/2025 16:00],88.65,94.41,4872.2,92.51
[16/01/2025 17:00],43.82,55.85,2051.5,40.56
[16/01/2025 18:00],40.01,62.47,4682.0,42.2
[16/01/2025 19:00],43.25,95.01,5079.2,85.87
[16/01/2025 20:00],54.67,64.42,3811.8,76.43
[16/01/2025 21:00],87.34,61.45,5134.2,91.93
[16/01/2025 22:00],41.48,93.41,5214.4,40.06
[16/01/2025 23:00],66.06,62.1,5447.5,71.07
[17/01/2025 00:00],40.15,59.64,5736.5,55.92
[17/01/2025 01:00],65.77,75.24,2364.4,91.9
[17/01/2025 02:00],92.69,94.68,5903.3,82.61
[17/01/2025 03:00],53.21,59.99,4245.9,81.99
[17/01/2025 04:00],41.72,88.09,5824.6,76.43
[17/01/2025 05:00],58.08,45.62,2894.5,63.36
[17/01/2025 06:00],47.63,49.32,2533.2,79.28
[17/01/2025 07:00],61.52,63.56,5142.3,55.67
[17/01/2025 08:00],83.09,95.29,5055.4,83.09
[17/01/2025 09:00],85.94,59.61,5443.4,71.14
[17/01/2025 10:00],77.02,71.43,4645.1,61.24
[17/01/2025 11:00],74.2,57.74,4696.8,80.74
[17/01/2025 12:00],82.17,91.68,3111.0,49.73
[17/01/2025 13:00],66.45,69.36,4487.8,59.32
[17/01/2025 14:00],54.09,76.37,4158.2,84.0
[17/01/2025 15:00],59.39,56.39,5585.7,91.56
[17/01/2025 16:00],94.41,46.88,3076.8,46.57
[17/01/2025 17:00],53.01,46.34,4024.3,71.26
[17/01/2025 18:00],76.48,60.1,3153.2,89.64
[17/01/2025 19:00],57.12,89.35,5233.6,60.31
[17/01/2025 20:00],58.99,90.07,3126.6,78.29
[17/01/2025 21:00],90.58,79.27,2719.7,77.78
[17/01/2025 22:00],52.97,53.58,5704.6,41.13
[17/01/2025 23:00],48.46,81.57,3792.3,71.28
[18/01/2025 00:00],87.41,95.93,4758.0,79.1
[18/01/2025 01:00],89.35,93.07,2976.3,77.26
[18/01/2025 02:00],79.05,50.23,2812.1,81.18
[18/01/2025 03:00],59.62,67.28,4568.1,87.32
[18/01/2025 04:00],44.91,63.16,4174.4,76.1
[18/01/2025 05:00],91.67,86.41,5792.5,80.5
[18/01/2025 06:00],84.91,98.31,4462.7,87.36
[18/01/2025 07:00],61.06,80.89,4248.3,92.25
[18/01/2025 08:00],84.48,81.46,3963.0,61.12
[18/01/2025 09:00],49.32,49.69,3370.2,74.68
[18/01/2025 10:00],83.54,96.1,4921.9,40.41
[18/01/2025 11:00],80.3,47.03,2750.3,87.24
[18/01/2025 12:00],93.98,50.0,2619.8,42.54
[18/01/2025 13:00],58.97,49.9,3928.2,81.58
[18/01/2025 14:00],87.56,93.48,2990.8,82.07
[18/01/2025 15:00],55.0,85.79,3424.9,73.51
[18/01/2025 16:00],60.73,67.73,4045.1,83.06
[18/01/2025 17:00],77.22,78.83,2652.4,66.9
[18/01/2025 18:00],53.31,72.87,4844.5,82.56
[18/01/2025 19:00],68.57,50.47,4710.0,75.28
[18/01/2025 20:00],81.19,80.28,2519.0,56.65
[18/01/2025 21:00],41.59,90.14,3478.4,87.88
[18/01/2025 22:00],63.72,65.8,4458.1,45.93
[18/01/2025 23:00],88.67,68.16,3900.1,90.23
[19/01/2025 00:00],83.94,48.59,3470.5,58.11
[19/01/2025 01:00],42.24,94.08,4556.3,77.31
[19/01/2025 02:00],78.79,53.48,4947.2,52.86
[19/01/2025 03:00],55.65,74.28,5659.3,90.07
[19/01/2025 04:00],64.97,78.92,3847.5,64.48
[19/01/2025 05:00],57.29,76.27,4533.5,87.89
[19/01/2025 06:00],50.34,95.14,5801.7,43.13
[19/01/2025 07:00],70.9,74.61,2333.7,52.69
[19/01/2025 08:00],87.31,65.13,5205.6,42.52
[19/01/2025 09:00],58.8,95.76,3276.8,56.01
[19/01/2025 10:00],66.71,82.42,4509.7,72.14
[19/01/2025 11:00],40.03,67.49,2823.4,74.02
[19/01/2025 12:00],43.23,57.54,4819.2,76.94
[19/01/2025 13:00],45.66,52.15,2621.0,57.52
[19/01/2025 14:00],69.65,49.39,4806.4,83.27
[19/01/2025 15:00],80.3,98.26,3939.8,83.54
[19/01/2025 16:00],91.68,71.19,3897.2,48.05
[19/01/2025 17:00],44.22,70.8,5937.0,82.35
[19/01/2025 18:00],62.19,55.88,4762.9,42.27
[19/01/2025 19:00],61.57,52.46,4716.3,92.55
[19/01/2025 20:00],66.62,57.98,3910.8,58.28
[19/01/2025 21:00],44.84,66.23,5961.3,88.13
[19/01/2025 22:00],91.35,95.65,3348.3,74.01
[19/01/2025 23:00],55.92,80.64,3342.6,57.09
[20/01/2025 00:00],47.34,60.56,4686.8,44.24
[20/01/2025 01:00],72.36,80.91,4075.6,82.78
[20/01/2025 02:00],77.23,77.39,2179.5,79.91
[20/01/2025 03:00],87.86,72.92,5838.2,92.58
[20/01/2025 04:00],88.8,78.63,5344.1,83.86
[20/01/2025 05:00],45.92,49.95,2530.4,69.48
[20/01/2025 06:00],86.62,77.18,2430.8,50.21
[20/01/2025 07:00],66.66,57.58,2448.6,83.25
[20/01/2025 08:00],75.83,52.06,5000.8,91.76
[20/01/2025 09:00],67.65,81.25,4513.0,58.16
[20/01/2025 10:00],65.81,55.19,4338.7,57.05
[20/01/2025 11:00],88.26,82.08,3509.6,76.94
[20/01/2025 12:00],52.42,70.25,3210.1,67.87
[20/01/2025 13:00],43.38,82.31,3364.7,78.0
[20/01/2025 14:00],89.08,50.7,4189.1,42.95
[20/01/2025 15:00],89.4,49.96,3431.7,94.46
[20/01/2025 16:00],92.12,95.33,2621.0,54.68
[20/01/2025 17:00],55.42,85.54,4406.8,62.09
[20/01/2025 18:00],43.8,83.18,5984.9,71.95
[20/01/2025 19:00],60.71,87.66,3487.8,53.94
[20/01/2025 20:00],62.49,80.46,2475.8,61.2
[20/01/2025 21:00],65.68,71.93,5796.2,52.43
[20/01/2025 22:00],46.07,52.85,4611.0,59.22
[20/01/2025 23:00],78.67,84.82,2842.7,74.35
