TradeKey,Date,CurrencyKey,TraderKey,Trade_Amount,Exchange_Rate,Total_Value_USD,Transaction_Fee
178,2020-05-13,1,1,948717,1.084681034,1029055.34,94.87
179,2020-05-14,1,3,374526,1.082368255,405375.05,37.45
180,2020-05-14,1,4,201246,1.082368255,217822.28,20.12
181,2020-05-14,1,4,496872,1.082368255,537798.48,49.69
182,2020-05-15,1,3,218835,1.08069551,236494.0,21.88
183,2020-05-18,1,2,950462,1.082134008,1028527.25,95.05
184,2020-05-19,1,2,108978,1.091512442,118950.84,10.9
185,2020-05-20,1,1,286244,1.092776775,312800.8,28.62
186,2020-05-20,1,4,331837,1.092776775,362623.77,33.18
187,2020-05-20,1,2,45442,1.092776775,49657.96,4.54
188,2020-05-21,1,4,302146,1.098297596,331846.23,30.21
189,2020-05-22,1,3,407455,1.095290303,446281.51,40.75
190,2020-05-22,1,1,553594,1.095290303,606346.14,55.36
191,2020-05-25,1,3,693238,1.090780139,756170.24,69.32
192,2020-05-25,1,1,54496,1.090780139,59443.15,5.45
193,2020-05-26,1,2,867119,1.090299726,945419.61,86.71
194,2020-05-26,1,2,774301,1.090299726,844220.17,77.43
195,2020-05-26,1,1,484189,1.090299726,527911.13,48.42
196,2020-05-27,1,4,496171,1.098177075,544883.62,49.62
197,2020-05-27,1,4,695513,1.098177075,763796.43,69.55
198,2020-05-27,1,2,83960,1.098177075,92202.95,8.4
199,2020-05-28,1,2,651628,1.101685524,717889.13,65.16
200,2020-05-28,1,3,240608,1.101685524,265074.35,24.06
201,2020-05-29,1,1,930802,1.107910514,1031245.32,93.08
202,2020-05-29,1,2,529750,1.107910514,586915.59,52.98
203,2020-05-29,1,2,602799,1.107910514,667847.35,60.28
204,2020-06-01,1,2,56761,1.111852407,63109.85,5.68
205,2020-06-01,1,3,612840,1.111852407,681387.63,61.28
206,2020-06-01,1,2,401359,1.111852407,446251.97,40.14
207,2020-06-02,1,3,809188,1.112594604,900298.2,80.92
208,2020-06-03,1,4,306635,1.118943691,343107.3,30.66
209,2020-06-03,1,2,925565,1.118943691,1035655.12,92.56
210,2020-06-03,1,3,468334,1.118943691,524039.37,46.83
211,2020-06-04,1,2,745147,1.123595476,837243.8,74.51
212,2020-06-05,1,1,997078,1.133786798,1130473.87,99.71
213,2020-06-05,1,1,945121,1.133786798,1071565.71,94.51
214,2020-06-05,1,3,929977,1.133786798,1054395.65,93.0
215,2020-06-08,1,3,550007,1.131951571,622581.29,55.0
216,2020-06-08,1,4,710278,1.131951571,804000.3,71.03
217,2020-06-08,1,1,416145,1.131951571,471055.99,41.61
218,2020-06-09,1,3,742144,1.130556703,839035.87,74.21
219,2020-06-09,1,4,392595,1.130556703,443850.91,39.26
220,2020-06-09,1,3,318861,1.130556703,360490.44,31.89
221,2020-06-10,1,2,923908,1.133221507,1046992.42,92.39
222,2020-06-10,1,1,257277,1.133221507,291551.83,25.73
223,2020-06-10,1,1,713859,1.133221507,808960.37,71.39
224,2020-06-11,1,2,442327,1.136544466,502724.3,44.23
225,2020-06-12,1,4,397131,1.12880826,448284.75,39.71
226,2020-06-15,1,2,730736,1.125201106,822224.96,73.07
227,2020-06-16,1,3,451368,1.133774042,511749.32,45.14
228,2020-06-16,1,4,780573,1.133774042,884993.41,78.06
229,2020-06-16,1,2,518008,1.133774042,587304.02,51.8
230,2020-06-17,1,4,691929,1.126570106,779506.53,69.19
231,2020-06-17,1,1,688250,1.126570106,775361.88,68.83
232,2020-06-18,1,2,292680,1.124290228,329057.26,29.27
233,2020-06-18,1,1,954990,1.124290228,1073685.92,95.5
234,2020-06-19,1,2,844146,1.121100068,946372.14,84.41
235,2020-06-19,1,2,434283,1.121100068,486874.7,43.43
236,2020-06-22,1,1,899659,1.117755532,1005598.82,89.97
237,2020-06-22,1,4,213979,1.117755532,239176.21,21.4
238,2020-06-22,1,1,716822,1.117755532,801231.76,71.68
239,2020-06-23,1,3,617060,1.127967954,696023.91,61.71
240,2020-06-24,1,4,588619,1.131234527,665866.14,58.86
241,2020-06-25,1,3,108920,1.125087261,122544.5,10.89
242,2020-06-26,1,1,401573,1.122208476,450648.62,40.16
243,2020-06-29,1,4,399713,1.122586489,448712.41,39.97
244,2020-06-29,1,4,761499,1.122586489,854848.49,76.15
245,2020-06-30,1,1,23878,1.124720216,26856.07,2.39
246,2020-06-30,1,1,38866,1.124720216,43713.38,3.89
247,2020-07-01,1,3,457406,1.123595476,513939.31,45.74
248,2020-07-02,1,4,214098,1.125137806,240889.75,21.41
249,2020-07-02,1,1,218000,1.125137806,245280.04,21.8
250,2020-07-03,1,1,418582,1.1237849,470396.13,41.86
251,2020-07-06,1,1,977754,1.124720216,1099699.69,97.78
252,2020-07-06,1,3,882671,1.124720216,992757.92,88.27
253,2020-07-06,1,1,408361,1.124720216,459291.87,40.84
254,2020-07-07,1,4,75952,1.131285667,85923.41,7.6
255,2020-07-07,1,4,466251,1.131285667,527463.07,46.63
256,2020-07-08,1,4,15143,1.127522826,17074.08,1.51
257,2020-07-08,1,3,610923,1.127522826,688829.63,61.09
258,2020-07-09,1,4,140527,1.133915424,159345.73,14.05
259,2020-07-09,1,4,366614,1.133915424,415709.27,36.66
260,2020-07-09,1,1,884966,1.133915424,1003476.6,88.5
261,2020-07-10,1,1,171234,1.128795505,193288.17,17.12
262,2020-07-10,1,4,847950,1.128795505,957162.15,84.8
263,2020-07-13,1,4,74137,1.131004214,83849.26,7.41
264,2020-07-13,1,4,634099,1.131004214,717168.64,63.41
265,2020-07-13,1,1,980143,1.131004214,1108545.86,98.01
266,2020-07-14,1,2,241412,1.134549618,273893.89,24.14
267,2020-07-14,1,4,23891,1.134549618,27105.52,2.39
268,2020-07-14,1,1,512190,1.134549618,581104.97,51.22
269,2020-07-15,1,3,910611,1.141070485,1039071.34,91.06
270,2020-07-16,1,1,407572,1.141719341,465332.84,40.76
271,2020-07-17,1,2,324563,1.139211655,369745.95,32.46
272,2020-07-17,1,1,143278,1.139211655,163223.97,14.33
273,2020-07-20,1,4,550992,1.144295692,630497.77,55.1
274,2020-07-21,1,2,456881,1.145869136,523525.84,45.69
275,2020-07-21,1,3,241999,1.145869136,277299.19,24.2
276,2020-07-22,1,1,221532,1.153402567,255515.58,22.15
277,2020-07-22,1,3,377951,1.153402567,435929.65,37.8
278,2020-07-23,1,3,827432,1.156871796,957232.74,82.74
279,2020-07-24,1,1,233301,1.159608483,270537.82,23.33
280,2020-07-24,1,3,810512,1.159608483,939876.59,81.05
281,2020-07-27,1,3,953733,1.165256739,1111343.81,95.37
282,2020-07-28,1,3,801298,1.176927567,943069.71,80.13
283,2020-07-29,1,3,689136,1.17187953,807584.37,68.91
284,2020-07-30,1,3,690909,1.178286552,814088.78,69.09
285,2020-07-31,1,4,996221,1.187225461,1182738.94,99.62
286,2020-07-31,1,2,146341,1.187225461,173739.76,14.63
287,2020-07-31,1,3,457153,1.187225461,542743.68,45.72
288,2020-08-03,1,1,412455,1.178231001,485967.27,41.25
289,2020-08-03,1,2,650089,1.178231001,765955.01,65.01
290,2020-08-04,1,2,818075,1.176332235,962327.99,81.81
291,2020-08-05,1,3,211959,1.181544304,250438.95,21.2
292,2020-08-05,1,3,139036,1.181544304,164277.19,13.9
293,2020-08-06,1,2,325583,1.187281847,386558.79,32.56
294,2020-08-07,1,4,203403,1.187648416,241571.25,20.34
295,2020-08-07,1,2,123240,1.187648416,146365.79,12.32
296,2020-08-10,1,3,510594,1.178272724,601618.98,51.06
297,2020-08-10,1,2,211359,1.178272724,249038.54,21.14
298,2020-08-10,1,3,607941,1.178272724,716320.3,60.79
299,2020-08-11,1,2,196065,1.173777819,230136.75,19.61
300,2020-08-11,1,3,740250,1.173777819,868889.03,74.03
301,2020-08-11,1,2,337665,1.173777819,396343.69,33.77
302,2020-08-12,1,4,650520,1.173653841,763485.3,65.05
303,2020-08-13,1,4,129249,1.179380178,152433.71,12.92
304,2020-08-13,1,1,217265,1.179380178,256238.03,21.73
305,2020-08-14,1,4,438337,1.181655884,517963.5,43.83
306,2020-08-17,1,3,950971,1.185255408,1127143.52,95.1
307,2020-08-18,1,1,484965,1.187648416,575967.91,48.5
308,2020-08-18,1,3,756647,1.187648416,898630.61,75.66
309,2020-08-18,1,3,195415,1.187648416,232084.32,19.54
310,2020-08-19,1,1,936958,1.194785953,1119464.26,93.7
311,2020-08-19,1,4,522895,1.194785953,624747.6,52.29
312,2020-08-19,1,3,560948,1.194785953,670212.79,56.09
313,2020-08-20,1,4,537455,1.184350014,636534.84,53.75
314,2020-08-20,1,2,137168,1.184350014,162454.92,13.72
315,2020-08-20,1,3,190978,1.184350014,226184.8,19.1
316,2020-08-21,1,3,540615,1.187366486,641908.13,54.06
317,2020-08-21,1,3,812971,1.187366486,965294.52,81.3
318,2020-08-21,1,2,72483,1.187366486,86063.89,7.25
319,2020-08-24,1,2,386564,1.179801822,456068.91,38.66
320,2020-08-24,1,2,688506,1.179801822,812300.63,68.85
321,2020-08-24,1,2,492514,1.179801822,581068.91,49.25
322,2020-08-25,1,4,86831,1.17945385,102413.16,8.68
323,2020-08-25,1,2,779587,1.17945385,919486.89,77.96
324,2020-08-25,1,3,983373,1.17945385,1159843.07,98.34
325,2020-08-26,1,3,72244,1.183501959,85500.92,7.22
326,2020-08-26,1,3,806744,1.183501959,954783.1,80.67
327,2020-08-26,1,4,352261,1.183501959,416901.58,35.23
328,2020-08-27,1,3,530852,1.184272885,628673.63,53.09
329,2020-08-28,1,2,254205,1.181963205,300460.96,25.42
330,2020-08-31,1,4,639329,1.191824079,761967.7,63.93
331,2020-09-01,1,2,46259,1.193901539,55228.69,4.63
332,2020-09-02,1,3,977945,1.19232142,1166024.77,97.79
333,2020-09-02,1,4,164676,1.19232142,196346.72,16.47
334,2020-09-03,1,1,184293,1.184735894,218338.53,18.43
335,2020-09-03,1,2,774253,1.184735894,917285.32,77.43
336,2020-09-03,1,4,727595,1.184735894,862007.91,72.76
337,2020-09-04,1,4,623902,1.183978438,738686.52,62.39
338,2020-09-04,1,4,541229,1.183978438,640803.47,54.12
339,2020-09-07,1,4,584702,1.18344593,691963.2,58.47
340,2020-09-08,1,3,804827,1.182172775,951444.57,80.48
341,2020-09-08,1,4,557897,1.182172775,659530.64,55.79
342,2020-09-08,1,4,69717,1.182172775,82417.54,6.97
343,2020-09-09,1,1,897400,1.177024484,1056261.77,89.74
344,2020-09-09,1,2,512587,1.177024484,603327.45,51.26
345,2020-09-09,1,1,644281,1.177024484,758334.51,64.43
346,2020-09-10,1,1,711897,1.180637598,840492.36,71.19
347,2020-09-10,1,4,589904,1.180637598,696462.84,58.99
348,2020-09-10,1,2,695232,1.180637598,820817.04,69.52
349,2020-09-11,1,1,525277,1.182438493,621107.74,52.53
350,2020-09-11,1,1,711167,1.182438493,840911.24,71.12
351,2020-09-11,1,4,145575,1.182438493,172133.48,14.56
352,2020-09-14,1,2,25468,1.184272885,30161.06,2.55
353,2020-09-14,1,2,114409,1.184272885,135491.48,11.44
354,2020-09-15,1,1,452748,1.187000036,537411.89,45.27
355,2020-09-15,1,3,231381,1.187000036,274649.26,23.14
356,2020-09-16,1,1,761881,1.184441209,902403.25,76.19
357,2020-09-16,1,3,644489,1.184441209,763359.33,64.45
358,2020-09-17,1,4,464941,1.180344939,548790.76,46.49
359,2020-09-17,1,2,453800,1.180344939,535640.53,45.38
360,2020-09-17,1,2,909964,1.180344939,1074071.4,91.0
361,2020-09-18,1,1,823484,1.184820056,975680.36,82.35
362,2020-09-18,1,3,14117,1.184820056,16726.1,1.41
363,2020-09-18,1,4,678064,1.184820056,803383.83,67.81
364,2020-09-21,1,4,293099,1.184553385,347191.41,29.31
365,2020-09-22,1,3,695774,1.176800013,818786.85,69.58
366,2020-09-23,1,3,936569,1.170836806,1096569.46,93.66
367,2020-09-23,1,3,146620,1.170836806,171668.09,14.66
368,2020-09-23,1,1,572729,1.170836806,670572.19,57.27
369,2020-09-24,1,3,560178,1.165854454,653086.02,56.02
370,2020-09-24,1,3,706317,1.165854454,823462.82,70.63
371,2020-09-25,1,3,345405,1.167324305,403199.65,34.54
372,2020-09-28,1,3,23743,1.16353488,27625.81,2.37
373,2020-09-29,1,2,582887,1.167883277,680743.98,58.29
374,2020-09-29,1,1,436501,1.167883277,509782.22,43.65
375,2020-09-30,1,2,873526,1.174205065,1025698.65,87.35
376,2020-10-01,1,2,390764,1.172607899,458212.95,39.08
377,2020-10-02,1,4,151187,1.174494624,177568.32,15.12
378,2020-10-05,1,1,581807,1.172044396,681903.63,58.18
379,2020-10-06,1,2,163147,1.179245353,192390.34,16.31
380,2020-10-06,1,1,648246,1.179245353,764441.08,64.82
381,2020-10-06,1,1,914303,1.179245353,1078187.56,91.43
382,2020-10-07,1,3,272442,1.17376399,319782.61,27.24
383,2020-10-07,1,3,962965,1.17376399,1130293.64,96.3
384,2020-10-08,1,3,864815,1.176747441,1017668.84,86.48
385,2020-10-08,1,2,545195,1.176747441,641556.82,54.52
386,2020-10-08,1,3,632543,1.176747441,744343.36,63.25
387,2020-10-09,1,1,299500,1.176700354,352421.76,29.95
388,2020-10-09,1,4,653553,1.176700354,769036.05,65.36
389,2020-10-09,1,4,847169,1.176700354,996864.06,84.72
390,2020-10-12,1,3,477815,1.181683898,564626.29,47.78
391,2020-10-12,1,1,551574,1.181683898,651786.11,55.16
392,2020-10-12,1,4,444884,1.181683898,525712.26,44.49
393,2020-10-13,1,2,253761,1.181614041,299847.56,25.38
394,2020-10-13,1,4,33129,1.181614041,39145.69,3.31
395,2020-10-14,1,3,996795,1.174218893,1170455.52,99.68
396,2020-10-14,1,3,957729,1.174218893,1124583.49,95.77
397,2020-10-15,1,3,100387,1.174398184,117894.31,10.04
398,2020-10-15,1,1,687104,1.174398184,806933.69,68.71
399,2020-10-15,1,1,952394,1.174398184,1118489.78,95.24
400,2020-10-16,1,4,996834,1.170713425,1167006.95,99.68
401,2020-10-16,1,2,543201,1.170713425,635932.7,54.32
402,2020-10-16,1,4,580307,1.170713425,679373.2,58.03
403,2020-10-19,1,4,579183,1.171550155,678541.93,57.92
404,2020-10-19,1,4,801197,1.171550155,938642.47,80.12
405,2020-10-19,1,1,581900,1.171550155,681725.04,58.19
406,2020-10-20,1,2,770790,1.176885962,907131.93,77.08
407,2020-10-20,1,2,528133,1.176885962,621552.31,52.81
408,2020-10-20,1,1,467277,1.176885962,549931.74,46.73
409,2020-10-21,1,3,548612,1.182983994,648999.21,54.86
410,2020-10-21,1,4,965595,1.182983994,1142283.43,96.56
411,2020-10-21,1,3,122791,1.182983994,145259.79,12.28
412,2020-10-22,1,3,705827,1.185395956,836684.47,70.58
413,2020-10-22,1,3,659442,1.185395956,781699.88,65.94
414,2020-10-22,1,3,667904,1.185395956,791730.7,66.79
415,2020-10-23,1,4,536179,1.181502461,633496.81,53.62
416,2020-10-26,1,4,134849,1.18484807,159775.58,13.48
417,2020-10-26,1,1,708562,1.18484807,839538.32,70.86
418,2020-10-27,1,3,883419,1.180944324,1043268.65,88.34
419,2020-10-28,1,2,766973,1.178411484,903809.79,76.7
420,2020-10-28,1,3,715673,1.178411484,843357.28,71.57
421,2020-10-29,1,4,340435,1.174867272,399965.94,34.04
422,2020-10-30,1,3,198155,1.167869568,231419.19,19.82
423,2020-10-30,1,1,402991,1.167869568,470640.93,40.3
424,2020-11-02,1,1,203528,1.164212108,236949.76,20.35
425,2020-11-03,1,2,447484,1.164279938,520996.64,44.75
426,2020-11-03,1,3,112214,1.164279938,130648.51,11.22
427,2020-11-04,1,3,897612,1.17622149,1055790.52,89.76
428,2020-11-04,1,2,245328,1.17622149,288560.07,24.53
429,2020-11-04,1,4,698600,1.17622149,821708.33,69.86
430,2020-11-05,1,1,962176,1.173268199,1128890.5,96.22
431,2020-11-05,1,4,627852,1.173268199,736638.79,62.79
432,2020-11-05,1,1,486617,1.173268199,570932.25,48.66
433,2020-11-06,1,2,469960,1.181753755,555376.99,47.0
434,2020-11-06,1,3,373690,1.181753755,441609.56,37.37
435,2020-11-09,1,4,461829,1.189301014,549253.7,46.18
436,2020-11-09,1,4,844679,1.189301014,1004577.59,84.47
437,2020-11-10,1,3,591691,1.182732105,699811.94,59.17
438,2020-11-10,1,4,288531,1.182732105,341254.88,28.85
439,2020-11-11,1,2,608589,1.181879401,719278.8,60.86
440,2020-11-11,1,2,615110,1.181879401,726985.84,61.51
441,2020-11-11,1,1,842887,1.181879401,996190.78,84.29
442,2020-11-12,1,4,702345,1.178029776,827383.32,70.23
443,2020-11-13,1,3,936718,1.180339336,1105645.1,93.67
444,2020-11-13,1,2,281367,1.180339336,332108.54,28.14
445,2020-11-16,1,3,704823,1.184525371,834880.73,70.48
446,2020-11-17,1,4,555992,1.1859442,659375.49,55.6
