transaction_id,latency_ms,security_level,encryption_method,zt_authentication,network_slice_id
TXN9782,12,Low,AES,0,Slice_B
TXN1025,21,Medium,AES,1,Slice_C
TXN9312,5,Medium,RSA,1,Slice_A
TXN7338,5,Medium,AES,1,Slice_B
TXN2698,25,High,TDKE,1,Slice_C
TXN8840,6,Medium,AES,1,Slice_A
TXN1686,17,Low,RSA,0,Slice_B
TXN4131,18,Medium,RSA,1,Slice_B
TXN4060,7,Medium,AES,1,Slice_C
TXN6262,18,High,TDKE,1,Slice_C
TXN6759,16,Low,RSA,0,Slice_B
TXN1939,24,Low,RSA,0,Slice_A
TXN2101,9,Low,RSA,0,Slice_B
TXN8273,9,Low,RSA,0,Slice_B
TXN5566,22,High,TDKE,1,Slice_B
TXN8311,20,High,TDKE,1,Slice_A
TXN2213,19,High,TDKE,1,Slice_C
TXN6692,22,Medium,RSA,1,Slice_A
TXN3852,12,High,TDKE,1,Slice_A
TXN4878,30,Low,AES,0,Slice_C
TXN2077,28,Medium,RSA,1,Slice_B
TXN2208,7,Medium,RSA,1,Slice_C
TXN6644,8,Low,AES,0,Slice_B
TXN3653,25,Low,RSA,0,Slice_A
TXN5961,10,Low,RSA,0,Slice_C
TXN1464,29,Low,RSA,0,Slice_C
TXN7825,12,Low,RSA,0,Slice_B
TXN2195,15,Low,AES,0,Slice_B
TXN6231,8,Medium,AES,1,Slice_B
TXN5382,24,Medium,AES,1,Slice_A
TXN6123,5,High,TDKE,1,Slice_B
TXN8491,16,High,TDKE,1,Slice_A
TXN9108,13,Low,RSA,0,Slice_B
TXN1741,22,High,TDKE,1,Slice_B
TXN5728,19,Low,RSA,0,Slice_C
TXN2946,16,High,TDKE,1,Slice_A
TXN9341,30,Medium,RSA,1,Slice_A
TXN9446,15,High,TDKE,1,Slice_B
TXN5902,21,Low,RSA,0,Slice_C
TXN5911,23,Medium,AES,1,Slice_C
TXN5350,6,Low,RSA,0,Slice_A
TXN7229,18,High,TDKE,1,Slice_B
TXN4340,20,Low,AES,0,Slice_C
TXN9498,20,Low,RSA,0,Slice_B
TXN8531,16,Low,RSA,0,Slice_C
TXN4150,14,High,TDKE,1,Slice_B
TXN4396,30,Low,RSA,0,Slice_B
TXN9899,27,High,TDKE,1,Slice_B
TXN5201,22,Low,RSA,0,Slice_A
TXN4920,21,High,TDKE,1,Slice_C
TXN1860,5,Low,AES,0,Slice_B
TXN8793,29,High,TDKE,1,Slice_C
TXN4804,6,Medium,RSA,1,Slice_A
TXN5742,15,Medium,RSA,1,Slice_C
TXN9590,19,Medium,AES,1,Slice_A
TXN3662,13,Low,AES,0,Slice_A
TXN6523,26,High,TDKE,1,Slice_A
TXN7643,15,High,TDKE,1,Slice_B
TXN2562,17,High,TDKE,1,Slice_B
TXN6400,8,Medium,RSA,1,Slice_A
TXN9233,8,Low,RSA,0,Slice_B
TXN4618,16,Medium,RSA,1,Slice_C
TXN4578,29,Low,AES,0,Slice_C
TXN9653,21,High,TDKE,1,Slice_C
TXN3455,19,High,TDKE,1,Slice_C
TXN9008,19,Low,AES,0,Slice_C
TXN6049,23,High,TDKE,1,Slice_A
TXN6644,6,High,TDKE,1,Slice_B
TXN5703,19,Medium,RSA,1,Slice_A
TXN9835,9,Low,AES,0,Slice_A
TXN5888,16,High,TDKE,1,Slice_B
TXN2848,29,High,TDKE,1,Slice_A
TXN2102,19,High,TDKE,1,Slice_C
TXN1924,15,Low,RSA,0,Slice_A
TXN3347,23,Low,AES,0,Slice_C
TXN7999,30,Low,RSA,0,Slice_C
TXN7688,12,Medium,AES,1,Slice_B
TXN7761,25,High,TDKE,1,Slice_B
TXN2514,6,High,TDKE,1,Slice_A
TXN4555,11,Low,AES,0,Slice_C
TXN4974,17,Medium,RSA,1,Slice_B
TXN6892,29,Medium,AES,1,Slice_B
TXN7781,9,High,TDKE,1,Slice_B
TXN7841,12,Medium,RSA,1,Slice_B
TXN9037,30,Medium,AES,1,Slice_A
TXN9954,25,High,TDKE,1,Slice_C
TXN2217,7,Low,AES,0,Slice_A
TXN9285,22,Low,RSA,0,Slice_A
TXN9673,14,High,TDKE,1,Slice_C
TXN8054,24,Low,RSA,0,Slice_B
TXN7502,12,Medium,AES,1,Slice_C
TXN1519,5,Low,AES,0,Slice_A
TXN8109,8,Low,AES,0,Slice_A
TXN8790,6,High,TDKE,1,Slice_B
TXN4394,17,High,TDKE,1,Slice_B
TXN4939,22,Medium,RSA,1,Slice_C
TXN2284,15,Low,RSA,0,Slice_B
TXN5478,18,High,TDKE,1,Slice_C
TXN7227,27,Low,AES,0,Slice_C
TXN6188,29,Medium,AES,1,Slice_A
TXN4070,22,Low,RSA,0,Slice_A
TXN2468,24,Medium,RSA,1,Slice_A
TXN7779,22,High,TDKE,1,Slice_C
TXN3778,9,High,TDKE,1,Slice_A
TXN5521,28,Low,RSA,0,Slice_C
TXN4203,24,Medium,RSA,1,Slice_B
TXN8055,20,Medium,AES,1,Slice_B
TXN5775,30,High,TDKE,1,Slice_B
TXN5592,22,High,TDKE,1,Slice_C
TXN1440,11,Medium,RSA,1,Slice_C
TXN7703,27,Medium,RSA,1,Slice_A
TXN8851,21,Low,RSA,0,Slice_C
TXN6890,25,High,TDKE,1,Slice_A
TXN6816,25,Low,RSA,0,Slice_B
TXN2735,23,Low,AES,0,Slice_B
TXN7408,14,Medium,AES,1,Slice_A
TXN3321,16,Medium,AES,1,Slice_B
TXN8412,15,Low,AES,0,Slice_C
TXN4996,10,Medium,RSA,1,Slice_B
TXN7636,11,Medium,RSA,1,Slice_B
TXN4519,30,High,TDKE,1,Slice_C
TXN9796,20,Low,RSA,0,Slice_C
TXN7431,26,Low,RSA,0,Slice_C
TXN2388,16,Low,AES,0,Slice_C
TXN7852,17,Medium,AES,1,Slice_B
TXN9804,10,Medium,RSA,1,Slice_A
TXN6154,6,Medium,AES,1,Slice_B
TXN4196,21,Low,RSA,0,Slice_B
TXN9056,29,High,TDKE,1,Slice_B
TXN5503,29,Medium,AES,1,Slice_C
TXN5389,11,Medium,AES,1,Slice_C
TXN5055,19,High,TDKE,1,Slice_A
TXN6744,30,High,TDKE,1,Slice_C
TXN9720,23,Medium,AES,1,Slice_A
TXN1971,9,High,TDKE,1,Slice_A
TXN6277,17,Medium,AES,1,Slice_C
TXN5402,29,High,TDKE,1,Slice_B
TXN5558,29,Low,AES,0,Slice_C
TXN6869,17,High,TDKE,1,Slice_B
TXN9105,20,Medium,AES,1,Slice_A
TXN8529,18,High,TDKE,1,Slice_C
TXN5945,25,High,TDKE,1,Slice_A
TXN6005,20,High,TDKE,1,Slice_A
TXN4705,18,Low,AES,0,Slice_B
TXN4751,30,High,TDKE,1,Slice_A
TXN7022,7,Low,AES,0,Slice_C
TXN3688,11,Low,AES,0,Slice_B
TXN8248,28,Medium,RSA,1,Slice_B
TXN3290,7,High,TDKE,1,Slice_C
TXN5668,14,High,TDKE,1,Slice_C
TXN9348,12,Medium,RSA,1,Slice_A
TXN9185,5,Medium,RSA,1,Slice_A
TXN7895,10,Medium,AES,1,Slice_A
TXN2106,17,Low,RSA,0,Slice_C
TXN9209,24,High,TDKE,1,Slice_B
TXN6077,25,Low,AES,0,Slice_B
TXN8167,19,Low,AES,0,Slice_B
TXN3877,9,Low,AES,0,Slice_A
TXN6680,13,High,TDKE,1,Slice_B
TXN5403,7,Medium,AES,1,Slice_B
TXN9368,8,Low,AES,0,Slice_A
TXN9336,9,High,TDKE,1,Slice_A
TXN7870,7,Low,RSA,0,Slice_A
TXN1862,6,Medium,AES,1,Slice_B
TXN6090,19,High,TDKE,1,Slice_B
TXN5777,24,High,TDKE,1,Slice_B
TXN9083,22,High,TDKE,1,Slice_A
TXN7718,16,Low,AES,0,Slice_B
TXN7164,20,High,TDKE,1,Slice_A
TXN5584,28,High,TDKE,1,Slice_C
TXN9280,12,Medium,RSA,1,Slice_B
TXN6345,29,Low,AES,0,Slice_A
TXN3693,29,High,TDKE,1,Slice_B
TXN8591,27,Low,AES,0,Slice_A
TXN3430,13,High,TDKE,1,Slice_A
TXN8408,8,High,TDKE,1,Slice_A
TXN3141,7,High,TDKE,1,Slice_A
TXN8265,6,High,TDKE,1,Slice_C
TXN7471,10,Medium,RSA,1,Slice_B
TXN1567,14,Medium,RSA,1,Slice_C
TXN1999,30,Low,AES,0,Slice_C
TXN1319,15,Medium,RSA,1,Slice_A
TXN6224,21,Medium,AES,1,Slice_A
TXN5060,23,Medium,RSA,1,Slice_A
TXN4875,27,Medium,AES,1,Slice_C
TXN6761,11,Medium,RSA,1,Slice_A
TXN1621,15,Low,AES,0,Slice_A
TXN3907,9,High,TDKE,1,Slice_C
TXN2188,8,Medium,RSA,1,Slice_B
TXN3580,20,Low,RSA,0,Slice_A
TXN6846,10,Low,AES,0,Slice_C
TXN7415,12,Low,AES,0,Slice_B
TXN6425,7,Low,RSA,0,Slice_B
TXN5345,7,Medium,RSA,1,Slice_A
TXN1020,20,Medium,RSA,1,Slice_C
TXN2661,25,Low,AES,0,Slice_A
TXN2207,7,Medium,AES,1,Slice_B
TXN2228,25,High,TDKE,1,Slice_C
TXN3573,22,Low,RSA,0,Slice_C
TXN5872,9,High,TDKE,1,Slice_B
TXN8005,25,Low,RSA,0,Slice_A
TXN1421,14,High,TDKE,1,Slice_B
TXN6052,25,Low,RSA,0,Slice_A
TXN7249,12,Medium,AES,1,Slice_A
TXN2584,18,Low,AES,0,Slice_C
TXN7342,14,High,TDKE,1,Slice_B
TXN1568,26,Low,AES,0,Slice_A
TXN3832,26,Medium,AES,1,Slice_C
TXN5225,13,Low,RSA,0,Slice_A
TXN9561,23,High,TDKE,1,Slice_A
TXN2654,16,Medium,RSA,1,Slice_B
TXN8955,24,Low,RSA,0,Slice_A
TXN6431,5,Medium,RSA,1,Slice_B
TXN9054,29,Medium,RSA,1,Slice_C
TXN2462,16,High,TDKE,1,Slice_C
TXN2075,23,High,TDKE,1,Slice_A
TXN4288,27,High,TDKE,1,Slice_B
TXN8605,8,Low,AES,0,Slice_A
TXN9008,10,Medium,AES,1,Slice_B
TXN7333,29,High,TDKE,1,Slice_A
TXN4688,29,Low,AES,0,Slice_B
TXN3837,27,Low,RSA,0,Slice_B
TXN6713,24,Medium,AES,1,Slice_A
TXN7131,13,Low,RSA,0,Slice_B
TXN5895,29,High,TDKE,1,Slice_A
TXN7620,9,Low,AES,0,Slice_C
TXN5843,23,High,TDKE,1,Slice_B
TXN4643,30,Medium,RSA,1,Slice_C
TXN3785,28,Low,AES,0,Slice_C
TXN2463,16,Medium,RSA,1,Slice_B
TXN8709,17,Low,RSA,0,Slice_B
TXN3470,19,High,TDKE,1,Slice_B
TXN3954,25,High,TDKE,1,Slice_A
TXN5481,29,High,TDKE,1,Slice_B
TXN3120,18,Medium,RSA,1,Slice_B
TXN1076,29,Low,AES,0,Slice_A
TXN1067,21,Low,RSA,0,Slice_A
TXN1749,9,Medium,RSA,1,Slice_B
TXN3701,11,Low,AES,0,Slice_C
TXN3768,25,High,TDKE,1,Slice_B
TXN5190,6,Low,AES,0,Slice_C
TXN1323,20,Low,AES,0,Slice_A
TXN1152,8,Low,RSA,0,Slice_C
TXN3247,28,Low,AES,0,Slice_B
TXN2741,11,Medium,AES,1,Slice_B
TXN7713,20,Medium,AES,1,Slice_A
TXN2458,28,High,TDKE,1,Slice_B
TXN4787,6,Medium,RSA,1,Slice_C
TXN7979,25,High,TDKE,1,Slice_B
TXN8171,7,Medium,RSA,1,Slice_A
TXN7566,18,Low,AES,0,Slice_A
TXN1960,23,Low,RSA,0,Slice_A
TXN7221,5,Low,AES,0,Slice_B
TXN2850,27,Low,AES,0,Slice_C
TXN9504,25,Medium,AES,1,Slice_C
TXN1894,20,Medium,AES,1,Slice_A
TXN6253,17,Medium,AES,1,Slice_A
TXN8277,20,Low,AES,0,Slice_A
TXN7755,25,Medium,AES,1,Slice_C
TXN8474,29,Low,RSA,0,Slice_C
TXN6952,15,Medium,RSA,1,Slice_C
TXN7125,28,Low,RSA,0,Slice_A
TXN4209,27,Medium,AES,1,Slice_B
TXN3018,28,High,TDKE,1,Slice_C
TXN8912,23,High,TDKE,1,Slice_C
TXN2696,17,Medium,AES,1,Slice_B
TXN6617,28,Low,RSA,0,Slice_C
TXN6143,16,Low,AES,0,Slice_C
TXN3913,25,Medium,AES,1,Slice_B
TXN8870,28,Low,RSA,0,Slice_B
TXN9564,13,High,TDKE,1,Slice_B
TXN5105,30,Medium,AES,1,Slice_C
TXN6876,12,Low,RSA,0,Slice_C
TXN1769,28,Medium,AES,1,Slice_C
TXN4695,22,Low,AES,0,Slice_C
TXN5819,7,High,TDKE,1,Slice_A
TXN9418,10,Low,RSA,0,Slice_A
TXN8640,29,Low,RSA,0,Slice_B
TXN6866,12,High,TDKE,1,Slice_C
TXN9276,22,Medium,AES,1,Slice_B
TXN4495,24,Low,RSA,0,Slice_C
TXN1144,24,High,TDKE,1,Slice_A
TXN6258,21,Medium,RSA,1,Slice_B
TXN5856,29,Low,AES,0,Slice_C
TXN4453,18,High,TDKE,1,Slice_A
TXN8130,26,High,TDKE,1,Slice_A
TXN6434,7,Low,AES,0,Slice_B
TXN7357,22,High,TDKE,1,Slice_C
TXN2036,7,Medium,AES,1,Slice_B
TXN5937,5,Medium,AES,1,Slice_C
TXN3234,14,Low,AES,0,Slice_B
TXN7113,22,Low,AES,0,Slice_B
TXN6633,21,High,TDKE,1,Slice_A
TXN4617,6,Low,RSA,0,Slice_C
TXN2198,15,Medium,AES,1,Slice_C
TXN4842,7,High,TDKE,1,Slice_B
TXN8383,23,High,TDKE,1,Slice_C
TXN6971,12,Low,RSA,0,Slice_B
TXN3200,20,Low,AES,0,Slice_A
TXN2343,7,Low,AES,0,Slice_A
TXN1511,11,High,TDKE,1,Slice_C
TXN9904,29,High,TDKE,1,Slice_B
TXN4658,16,Low,AES,0,Slice_C
TXN3717,23,Low,AES,0,Slice_C
TXN8921,12,High,TDKE,1,Slice_C
TXN9485,6,Low,RSA,0,Slice_A
TXN9542,13,Low,AES,0,Slice_B
TXN7201,13,Medium,AES,1,Slice_C
TXN6781,9,Medium,AES,1,Slice_A
TXN9430,27,High,TDKE,1,Slice_C
TXN7793,8,Medium,RSA,1,Slice_B
TXN3641,10,High,TDKE,1,Slice_C
TXN1642,17,Low,AES,0,Slice_C
TXN5644,18,Low,AES,0,Slice_C
TXN9369,26,Medium,RSA,1,Slice_C
TXN2127,21,Low,RSA,0,Slice_A
TXN2577,24,High,TDKE,1,Slice_C
TXN2925,9,Low,AES,0,Slice_C
TXN8069,30,Medium,RSA,1,Slice_B
TXN2600,7,Medium,RSA,1,Slice_B
TXN1089,21,High,TDKE,1,Slice_C
TXN7144,30,Medium,RSA,1,Slice_B
TXN3535,26,Medium,AES,1,Slice_B
TXN8904,22,Medium,RSA,1,Slice_B
TXN6641,9,Low,AES,0,Slice_C
TXN8317,30,Low,AES,0,Slice_A
TXN1086,7,Medium,AES,1,Slice_B
TXN1618,29,High,TDKE,1,Slice_C
TXN8192,30,Low,RSA,0,Slice_A
TXN9364,10,Low,AES,0,Slice_B
TXN1004,23,High,TDKE,1,Slice_C
TXN2124,22,Low,RSA,0,Slice_B
TXN4707,18,Low,AES,0,Slice_C
TXN9243,23,Medium,RSA,1,Slice_B
TXN8923,5,Medium,AES,1,Slice_B
TXN7269,27,High,TDKE,1,Slice_B
TXN6785,26,Low,RSA,0,Slice_A
TXN3924,28,Low,AES,0,Slice_B
TXN4271,24,Medium,AES,1,Slice_A
TXN2285,5,Low,AES,0,Slice_B
TXN6167,13,Medium,AES,1,Slice_C
TXN1887,26,High,TDKE,1,Slice_B
TXN9490,5,High,TDKE,1,Slice_C
TXN7216,22,Medium,AES,1,Slice_B
TXN6621,16,Medium,RSA,1,Slice_B
TXN3947,26,High,TDKE,1,Slice_A
TXN5422,18,Medium,AES,1,Slice_A
TXN3450,25,Low,RSA,0,Slice_B
TXN5111,13,Medium,AES,1,Slice_B
TXN6483,16,Low,AES,0,Slice_C
TXN9821,28,Medium,AES,1,Slice_B
TXN5694,17,High,TDKE,1,Slice_A
TXN6629,17,Medium,RSA,1,Slice_B
TXN9535,12,Low,RSA,0,Slice_C
TXN2311,20,Low,AES,0,Slice_A
TXN9584,17,Medium,AES,1,Slice_A
TXN5655,15,Medium,RSA,1,Slice_C
TXN9987,22,High,TDKE,1,Slice_C
TXN8480,25,Low,RSA,0,Slice_B
TXN9841,14,High,TDKE,1,Slice_A
TXN3233,29,Medium,RSA,1,Slice_A
TXN5799,18,Medium,AES,1,Slice_A
TXN7385,21,Low,RSA,0,Slice_B
TXN9715,14,High,TDKE,1,Slice_C
TXN8418,22,High,TDKE,1,Slice_A
TXN5622,19,Low,AES,0,Slice_A
TXN3468,20,Medium,RSA,1,Slice_C
TXN6410,20,High,TDKE,1,Slice_A
TXN7251,12,Low,AES,0,Slice_A
TXN2539,15,High,TDKE,1,Slice_C
TXN1691,16,High,TDKE,1,Slice_C
TXN2850,8,Medium,AES,1,Slice_A
TXN8786,26,Low,RSA,0,Slice_C
TXN1979,22,High,TDKE,1,Slice_A
TXN4812,28,High,TDKE,1,Slice_B
TXN8951,14,Low,RSA,0,Slice_A
TXN4057,22,High,TDKE,1,Slice_A
TXN3539,21,Medium,AES,1,Slice_A
TXN6965,17,High,TDKE,1,Slice_C
TXN9151,14,Medium,RSA,1,Slice_C
TXN2809,7,High,TDKE,1,Slice_A
TXN1512,17,Low,RSA,0,Slice_C
TXN5193,25,Medium,AES,1,Slice_B
TXN1994,6,Low,AES,0,Slice_B
TXN4537,21,Low,AES,0,Slice_C
TXN3931,8,Low,RSA,0,Slice_C
TXN7997,22,Low,RSA,0,Slice_B
TXN6319,12,Low,AES,0,Slice_B
TXN5162,14,Low,AES,0,Slice_C
TXN5945,27,Medium,AES,1,Slice_A
TXN8542,12,Medium,RSA,1,Slice_A
TXN7550,7,Low,RSA,0,Slice_B
TXN8999,25,Medium,AES,1,Slice_C
TXN7251,8,High,TDKE,1,Slice_C
TXN1187,23,High,TDKE,1,Slice_B
TXN4617,28,Medium,RSA,1,Slice_C
TXN9269,15,High,TDKE,1,Slice_B
TXN1807,27,High,TDKE,1,Slice_A
TXN4245,23,High,TDKE,1,Slice_C
TXN9589,23,High,TDKE,1,Slice_A
TXN7776,5,Medium,AES,1,Slice_B
TXN8245,26,Medium,AES,1,Slice_C
TXN2841,5,Medium,AES,1,Slice_B
TXN8719,13,Low,RSA,0,Slice_C
TXN3315,11,Low,RSA,0,Slice_A
TXN1136,13,Low,RSA,0,Slice_A
TXN5792,15,Medium,AES,1,Slice_A
TXN9202,20,Medium,AES,1,Slice_A
TXN6765,17,High,TDKE,1,Slice_C
TXN4695,26,Low,AES,0,Slice_B
TXN3502,15,Medium,AES,1,Slice_A
TXN3270,30,High,TDKE,1,Slice_A
TXN9582,28,High,TDKE,1,Slice_A
TXN3384,28,Low,RSA,0,Slice_A
TXN2749,24,High,TDKE,1,Slice_A
TXN1427,29,Medium,AES,1,Slice_C
TXN8680,11,High,TDKE,1,Slice_A
TXN1245,19,Low,RSA,0,Slice_C
TXN8496,28,Medium,RSA,1,Slice_C
TXN9784,8,Medium,RSA,1,Slice_A
TXN9498,6,Low,RSA,0,Slice_C
TXN1807,14,Medium,AES,1,Slice_B
TXN1893,28,Low,AES,0,Slice_A
TXN9952,23,Low,AES,0,Slice_B
TXN5097,28,High,TDKE,1,Slice_A
TXN8362,24,High,TDKE,1,Slice_B
TXN7235,29,Low,AES,0,Slice_B
TXN6071,11,High,TDKE,1,Slice_C
TXN1200,11,Low,RSA,0,Slice_B
TXN8239,11,High,TDKE,1,Slice_A
TXN1902,24,Medium,RSA,1,Slice_A
TXN2784,24,Low,AES,0,Slice_B
TXN6901,7,Medium,AES,1,Slice_B
TXN3204,24,High,TDKE,1,Slice_A
TXN9666,27,Low,RSA,0,Slice_B
TXN6185,24,Medium,AES,1,Slice_C
TXN9132,14,High,TDKE,1,Slice_A
TXN1392,11,Low,RSA,0,Slice_B
TXN6468,7,Medium,RSA,1,Slice_C
TXN6307,24,High,TDKE,1,Slice_A
TXN6415,20,Medium,AES,1,Slice_C
TXN8888,15,Medium,RSA,1,Slice_C
